Coeff;Alpha;Rd;Rf;n_scenarios;OptimizedX;OptimizedY;ObjVal;AvgLoss;StdDevLoss;OptimizationTime
None; 0.68; 0.08; 0.02; 10000; 0; [1242437, 0, 0, 0, 0]; 119228; 36982; 25830; 2.965
None; 0.68; 0.08; 0.02; 50000; 0; [1251959, 0, 0, 0, 0]; 118535; 36595; 26662; 13.818
None; 0.68; 0.08; 0.02; 100000; 0; [1247883, 0, 0, 0, 0]; 119103; 36870; 26211; 29.213
None; 0.68; 0.05; 0.05; 10000; 0; [716157, 0, 0, 0, 283842]; 50452; -6877; 28483; 2.182
None; 0.68; 0.05; 0.05; 50000; 0; [0, 0, 971879, 0, 0]; 50452; -1652; 55661; 12.166
None; 0.68; 0.05; 0.05; 100000; 0; [881405, 0, 0, 0, 0]; 50452; -8653; 13225; 25.888
None; 0.68; 0.02; 0.08; 10000; 0; [0, 0, 0, 987084, 0]; 105749; -56861; 87846; 2.024
None; 0.68; 0.02; 0.08; 50000; 0; [661242, 0, 0, 0, 0]; 105749; -60120; 34982; 10.9
None; 0.68; 0.02; 0.08; 100000; 0; [0, 664126, 0, 0, 0]; 105749; -59086; 52489; 22.695
None; 0.95; 0.08; 0.02; 10000; 0; [0, 894657, 0, 0, 0]; 103704; 50444; 17394; 2.381
None; 0.95; 0.08; 0.02; 50000; 0; [875580, 0, 0, 0, 0]; 103704; 44143; 13450; 12.948
None; 0.95; 0.08; 0.02; 100000; 0; [894101, 0, 0, 0, 0]; 103704; 43850; 11597; 27.937
None; 0.95; 0.05; 0.05; 10000; 0; [580752, 0, 0, 0, 0]; 155900; -5758; 42434; 2.274
None; 0.95; 0.05; 0.05; 50000; 0; [0, 715475, 0, 0, 0]; 155900; -3273; 39250; 12.11
None; 0.95; 0.05; 0.05; 100000; 0; [0, 678003, 0, 0, 0]; 155900; -3705; 42567; 26.033
None; 0.95; 0.02; 0.08; 10000; 0; [373713, 0, 0, 0, 0]; 205057; -59157; 60185; 1.956
None; 0.95; 0.02; 0.08; 50000; 0; [0, 476412, 0, 0, 0]; 205057; -58583; 63599; 10.624
None; 0.95; 0.02; 0.08; 100000; 0; [0, 483877, 0, 0, 0]; 205057; -58473; 63062; 22.374
None; 0.99; 0.08; 0.02; 10000; 0; [741787, 0, 0, 0, 0]; 162751; 46938; 27669; 2.304
None; 0.99; 0.08; 0.02; 50000; 0; [785517, 0, 0, 0, 0]; 162751; 45991; 22965; 13.226
None; 0.99; 0.08; 0.02; 100000; 0; [0, 814406, 0, 0, 0]; 162751; 51449; 24733; 28.068
None; 0.99; 0.05; 0.05; 10000; 572274; [0, 0, 0, 0, 0]; 211509; 310; 43061; 2.207
None; 0.99; 0.05; 0.05; 50000; 0; [0, 682939, 0, 0, 0]; 211509; -3695; 42227; 12.258
None; 0.99; 0.05; 0.05; 100000; 0; [0, 623372, 0, 0, 0]; 211509; -3281; 46992; 25.708
None; 0.99; 0.02; 0.08; 10000; 0; [0, 0, 0, 368930, 0]; 257427; -58815; 91468; 1.977
None; 0.99; 0.02; 0.08; 50000; 0; [0, 425630, 0, 0, 0]; 257427; -58687; 66829; 10.848
None; 0.99; 0.02; 0.08; 100000; 0; [0, 363137, 0, 0, 0]; 257427; -58637; 70390; 22.372
