Coeff;Alpha;Rd;Rf;n_scenarios;OptimizedX;OptimizedY;ObjVal;AvgLoss;StdDevLoss;OptimizationTime
0.001; 0.68; 0.08; 0.02; 5000; 0; [1000000, 0, 0, 0, 0]; 130591; 41677; 2057; 1.525
0.001; 0.68; 0.08; 0.02; 7500; 0; [1000000, 0, 0, 0, 0]; 130592; 41690; 1589; 2.483
0.001; 0.68; 0.08; 0.02; 10000; 990902; [0, 0, 0, 0, 0]; 193968; 61847; 982; 2.734
0.001; 0.68; 0.08; 0.02; 12500; 0; [1000000, 0, 0, 0, 0]; 130663; 41707; 1549; 180.463
0.001; 0.68; 0.05; 0.05; 5000; 257024; [599723, 0, 0, 0, 0]; 50452; -4392; 14084; 1.371
0.001; 0.68; 0.05; 0.05; 7500; 264367; [616858, 0, 0, 0, 0]; 50452; -4741; 12263; 2.104
0.001; 0.68; 0.05; 0.05; 10000; 300000; [86, 0, 365593, 333027, 1292]; 50452; 1281; 48617; 82.157
0.001; 0.68; 0.05; 0.05; 12500; 300000; [0, 0, 366196, 332329, 1474]; 50452; 1767; 49602; 127.655
0.001; 0.68; 0.02; 0.08; 5000; 191091; [99473, 346405, 0, 0, 0]; 105749; -44983; 53633; 1.25
0.001; 0.68; 0.02; 0.08; 7500; 199649; [0, 465847, 0, 0, 0]; 105749; -57891; 45754; 2.041
0.001; 0.68; 0.02; 0.08; 10000; 0; [0, 0, 0, 0, 0]; 0; 0; 0; 10.308
0.001; 0.68; 0.02; 0.08; 12500; 0; [0, 0, 0, 0, 0]; 0; 0; 0; 13.822
0.001; 0.95; 0.08; 0.02; 5000; 259880; [606388, 0, 0, 0, 0]; 103704; 50458; 13993; 1.404
0.001; 0.95; 0.08; 0.02; 7500; 262204; [611809, 0, 0, 0, 0]; 103704; 49938; 13051; 2.209
0.001; 0.95; 0.08; 0.02; 10000; 300000; [0, 700000, 0, 0, 0]; 103704; 53881; 9451; 111.321
0.001; 0.95; 0.08; 0.02; 12500; 300000; [113694, 223096, 24371, 140774, 198063]; 103704; 85666; 31957; 189.233
0.001; 0.95; 0.05; 0.05; 5000; 182610; [0, 426090, 0, 0, 0]; 155900; -1227; 43897; 1.35
0.001; 0.95; 0.05; 0.05; 7500; 198069; [0, 462161, 0, 0, 0]; 155900; -2052; 40142; 2.127
0.001; 0.95; 0.05; 0.05; 10000; 0; [0, 0, 0, 0, 0]; 0; 0; 0; 2.581
0.001; 0.95; 0.05; 0.05; 12500; 205885; [0, 480398, 0, 0, 0]; 155900; -2945; 38146; 3.479
0.001; 0.95; 0.02; 0.08; 5000; 114557; [0, 0, 267301, 0, 0]; 205057; -58886; 74649; 1.273
0.001; 0.95; 0.02; 0.08; 7500; 125090; [0, 0, 291876, 0, 0]; 205057; -58828; 75163; 2.016
0.001; 0.95; 0.02; 0.08; 10000; 365887; [3404, 0, 0, 0, 630708]; 205127; -57202; 59764; 10.541
0.001; 0.95; 0.02; 0.08; 12500; 133873; [0, 312371, 0, 0, 0]; 205057; -38422; 82061; 3.84
0.001; 0.99; 0.08; 0.02; 5000; 225119; [525278, 0, 0, 0, 0]; 162751; 53359; 24679; 1.377
0.001; 0.99; 0.08; 0.02; 7500; 244621; [570782, 0, 0, 0, 0]; 162751; 52394; 18315; 2.145
0.001; 0.99; 0.08; 0.02; 10000; 300000; [21047, 248165, 11914, 107087, 311786]; 162751; 98309; 56892; 110.328
0.001; 0.99; 0.08; 0.02; 12500; 300000; [700000, 0, 0, 0, 0]; 162751; 51031; 18465; 135.829
0.001; 0.99; 0.05; 0.05; 5000; 142835; [0, 333281, 0, 0, 0]; 211509; -1784; 56972; 1.322
0.001; 0.99; 0.05; 0.05; 7500; 153791; [80053, 278794, 0, 0, 0]; 211509; 14298; 61041; 2.089
0.001; 0.99; 0.05; 0.05; 10000; 167228; [83648, 306552, 0, 0, 0]; 211509; 17745; 57324; 5.748
0.001; 0.99; 0.05; 0.05; 12500; 319641; [96893, 34469, 93726, 188148, 267119]; 211529; 26473; 66612; 24.563
0.001; 0.99; 0.02; 0.08; 5000; 108952; [0, 0, 0, 254221, 0]; 257427; -56820; 83618; 1.25
0.001; 0.99; 0.02; 0.08; 7500; 118599; [0, 0, 0, 276731, 0]; 257427; -55782; 81404; 2.035
0.001; 0.99; 0.02; 0.08; 10000; 374627; [0, 0, 0, 0, 625372]; 257502; -57704; 59224; 10.364
0.001; 0.99; 0.02; 0.08; 12500; 132250; [0, 0, 0, 308583, 0]; 257427; -59471; 79969; 3.317
0.01; 0.68; 0.08; 0.02; 5000; 0; [1000000, 0, 0, 0, 0]; 133356; 41713; 1162; 1.486
0.01; 0.68; 0.08; 0.02; 7500; 0; [1000000, 0, 0, 0, 0]; 133383; 41717; 1373; 2.273
0.01; 0.68; 0.08; 0.02; 10000; 0; [1000000, 0, 0, 0, 0]; 133396; 41715; 1584; 108.001
0.01; 0.68; 0.08; 0.02; 12500; 729712; [0, 0, 0, 0, 0]; 198414; 61786; 28529; 3.484
0.01; 0.68; 0.05; 0.05; 5000; 253577; [591680, 0, 0, 0, 0]; 50452; -4667; 14931; 1.334
0.01; 0.68; 0.05; 0.05; 7500; 263889; [615742, 0, 0, 0, 0]; 50452; -4886; 12556; 2.151
0.01; 0.68; 0.05; 0.05; 10000; 299892; [291, 109, 365303, 334044, 0]; 50452; 878; 48694; 78.572
0.01; 0.68; 0.05; 0.05; 12500; 300000; [0, 17113, 340170, 342103, 611]; 50452; 3472; 48177; 130.901
0.01; 0.68; 0.02; 0.08; 5000; 184453; [69909, 360480, 0, 0, 0]; 105749; -49342; 52778; 1.193
0.01; 0.68; 0.02; 0.08; 7500; 182329; [0, 425435, 0, 0, 0]; 105749; -58818; 49123; 2.206
0.01; 0.68; 0.02; 0.08; 10000; 341965; [122, 0, 0, 0, 657912]; 106950; -57294; 61867; 10.268
0.01; 0.68; 0.02; 0.08; 12500; 183145; [0, 427340, 0, 0, 0]; 105749; -58245; 49732; 3.954
0.01; 0.95; 0.08; 0.02; 5000; 258532; [603241, 0, 0, 0, 0]; 103704; 50117; 14453; 1.332
0.01; 0.95; 0.08; 0.02; 7500; 271151; [632687, 0, 0, 0, 0]; 103704; 49576; 9821; 2.262
0.01; 0.95; 0.08; 0.02; 10000; 0; [0, 0, 0, 0, 0]; 0; 0; 0; 2.513
0.01; 0.95; 0.08; 0.02; 12500; 271766; [634121, 0, 0, 0, 0]; 103704; 49463; 10102; 3.825
0.01; 0.95; 0.05; 0.05; 5000; 199995; [0, 466655, 0, 0, 0]; 155900; -2565; 40508; 1.359
0.01; 0.95; 0.05; 0.05; 7500; 176658; [0, 412202, 0, 0, 0]; 155900; -1839; 47177; 2.205
0.01; 0.95; 0.05; 0.05; 10000; 300000; [109106, 1086, 160194, 43218, 386394]; 155900; 25861; 65799; 68.141
0.01; 0.95; 0.05; 0.05; 12500; 188170; [0, 439065, 0, 0, 0]; 155900; -2015; 43313; 7.009
0.01; 0.95; 0.02; 0.08; 5000; 125600; [0, 0, 293068, 0, 0]; 205057; -57903; 74496; 1.288
0.01; 0.95; 0.02; 0.08; 7500; 100025; [0, 0, 233393, 0, 0]; 205057; -58251; 78490; 2.033
0.01; 0.95; 0.02; 0.08; 10000; 300000; [0, 0, 0, 0, 699999]; 205136; -57845; 65973; 10.538
0.01; 0.95; 0.02; 0.08; 12500; 137966; [0, 0, 321922, 0, 0]; 205057; -59366; 72002; 3.785
0.01; 0.99; 0.08; 0.02; 5000; 233170; [544063, 0, 0, 0, 0]; 162751; 53397; 22071; 1.433
0.01; 0.99; 0.08; 0.02; 7500; 232796; [543190, 0, 0, 0, 0]; 162751; 52612; 22341; 2.334
0.01; 0.99; 0.08; 0.02; 10000; 230003; [536675, 0, 0, 0, 0]; 162751; 53397; 23119; 3.035
0.01; 0.99; 0.08; 0.02; 12500; 300000; [100509, 38005, 288235, 273250, 0]; 162751; 61414; 33003; 156.707
0.01; 0.99; 0.05; 0.05; 5000; 136368; [0, 318193, 0, 0, 0]; 211509; -1205; 57651; 1.361
0.01; 0.99; 0.05; 0.05; 7500; 159970; [67712, 305552, 0, 0, 0]; 211509; 9393; 58310; 2.228
0.01; 0.99; 0.05; 0.05; 10000; 300000; [0, 0, 1823, 698176, 0]; 211509; 1201; 59801; 21.068
0.01; 0.99; 0.05; 0.05; 12500; 300000; [95897, 65338, 152848, 199484, 186430]; 211509; 32586; 68983; 24.187
0.01; 0.99; 0.02; 0.08; 5000; 104007; [0, 0, 0, 242684, 0]; 257427; -57855; 82668; 1.266
0.01; 0.99; 0.02; 0.08; 7500; 94472; [0, 0, 0, 220434, 0]; 257427; -56747; 84276; 2.008
0.01; 0.99; 0.02; 0.08; 10000; 300000; [0, 0, 0, 0, 699999]; 257654; -57780; 66693; 10.562
0.01; 0.99; 0.02; 0.08; 12500; 104984; [0, 0, 0, 244963, 0]; 257427; -58504; 82627; 4.353
0.1; 0.68; 0.08; 0.02; 5000; 300000; [700000, 0, 0, 0, 0]; 149149; 47714; 1894; 1.497
0.1; 0.68; 0.08; 0.02; 7500; 300000; [700000, 0, 0, 0, 0]; 149273; 47767; 627; 2.631
0.1; 0.68; 0.08; 0.02; 10000; 0; [0, 0, 0, 0, 0]; 0; 0; 0; 2.623
0.1; 0.68; 0.08; 0.02; 12500; 300000; [700000, 0, 0, 0, 0]; 149196; 47739; 1204; 4.402
0.1; 0.68; 0.05; 0.05; 5000; 300000; [700000, 0, 0, 0, 0]; 50452; -5535; 7211; 1.509
0.1; 0.68; 0.05; 0.05; 7500; 300000; [700000, 0, 0, 0, 0]; 50452; -5861; 6669; 2.111
0.1; 0.68; 0.05; 0.05; 10000; 300000; [700000, 0, 0, 0, 0]; 50452; -5509; 6972; 3.84
0.1; 0.68; 0.05; 0.05; 12500; 299875; [371, 0, 365478, 333859, 0]; 50452; 1445; 48873; 126.698
0.1; 0.68; 0.02; 0.08; 5000; 300000; [449154, 250845, 0, 0, 0]; 105749; 5146; 48533; 1.333
