Coeff;Alpha;Rd;Rf;n_scenarios;OptimizedX;OptimizedY;ObjVal;AvgLoss;StdDevLoss;OptimizationTime
0.001; 0.68; 0.08; 0.02; 10000; 0; [1000000, 0, 0, 0, 0]; 130709; 41728; 1060; 2.775
0.001; 0.68; 0.08; 0.02; 50000; 0; [1000000, 0, 0, 0, 0]; 130680; 41716; 1345; 21.469
0.001; 0.68; 0.08; 0.02; 100000; 0; [1000000, 0, 0, 0, 0]; 130653; 41707; 1468; 31.848
0.001; 0.68; 0.05; 0.05; 10000; 264904; [618110, 0, 0, 0, 0]; 50452; -5682; 12338; 2.372
0.001; 0.68; 0.05; 0.05; 50000; 268640; [626828, 0, 0, 0, 0]; 50452; -6008; 11299; 13.493
0.001; 0.68; 0.05; 0.05; 100000; 265923; [620487, 0, 0, 0, 0]; 50452; -6022; 12309; 28.39
0.001; 0.68; 0.02; 0.08; 10000; 204062; [0, 476146, 0, 0, 0]; 105749; -58787; 44616; 2.065
0.001; 0.68; 0.02; 0.08; 50000; 216019; [0, 504044, 0, 0, 0]; 105749; -58652; 41993; 12.245
0.001; 0.68; 0.02; 0.08; 100000; 200621; [0, 468117, 0, 0, 0]; 105749; -58596; 45510; 24.644
0.001; 0.95; 0.08; 0.02; 10000; 261679; [610586, 0, 0, 0, 0]; 103704; 50222; 13253; 2.566
0.001; 0.95; 0.08; 0.02; 50000; 273067; [637158, 0, 0, 0, 0]; 103704; 48988; 9661; 14.473
0.001; 0.95; 0.08; 0.02; 100000; 272025; [634727, 0, 0, 0, 0]; 103704; 49099; 10096; 30.03
0.001; 0.95; 0.05; 0.05; 10000; 186129; [0, 434301, 0, 0, 0]; 155900; -2575; 44598; 2.352
0.001; 0.95; 0.05; 0.05; 50000; 203164; [0, 474051, 0, 0, 0]; 155900; -2301; 38975; 13.594
0.001; 0.95; 0.05; 0.05; 100000; 215794; [0, 503519, 0, 0, 0]; 155900; -2601; 35730; 28.656
0.001; 0.95; 0.02; 0.08; 10000; 126104; [0, 0, 294244, 0, 0]; 205057; -58952; 73741; 2.018
0.001; 0.95; 0.02; 0.08; 50000; 141218; [0, 198216, 131293, 0, 0]; 205057; -45792; 77015; 11.569
0.001; 0.95; 0.02; 0.08; 100000; 151834; [0, 184997, 169282, 0, 0]; 205057; -47217; 75044; 23.603
0.001; 0.99; 0.08; 0.02; 10000; 223154; [520694, 0, 0, 0, 0]; 162751; 52958; 25623; 2.391
0.001; 0.99; 0.08; 0.02; 50000; 253999; [592664, 0, 0, 0, 0]; 162751; 50234; 16402; 14.49
0.001; 0.99; 0.08; 0.02; 100000; 237660; [554542, 0, 0, 0, 0]; 162751; 50805; 22058; 30.274
0.001; 0.99; 0.05; 0.05; 10000; 158056; [89487, 279311, 0, 0, 0]; 211509; 15185; 60920; 2.377
0.001; 0.99; 0.05; 0.05; 50000; 167227; [0, 390198, 0, 0, 0]; 211509; -2123; 49269; 13.707
0.001; 0.99; 0.05; 0.05; 100000; 173494; [0, 404821, 0, 0, 0]; 211509; -1825; 47609; 28.91
0.001; 0.99; 0.02; 0.08; 10000; 67639; [0, 0, 0, 157825, 0]; 257427; -59270; 85687; 2.024
0.001; 0.99; 0.02; 0.08; 50000; 127174; [0, 129994, 166744, 0, 0]; 257427; -48243; 81910; 11.504
0.001; 0.99; 0.02; 0.08; 100000; 144826; [0, 260908, 0, 77019, 0]; 257427; -42594; 79973; 23.024
0.01; 0.68; 0.08; 0.02; 10000; 0; [1000000, 0, 0, 0, 0]; 133282; 41687; 1543; 2.756
